product_name,reorder_rate
"Original French Toast Sticks",1.00000
"Chia Sweet Peach Smoothie",1.00000
"Vanilla Ice Cream in wafer cups",1.00000
"Premium Herring Fillet Wine Sauce",1.00000
"Basic Bounty Basic Paper Towels, Print, 8 Regular Rolls Towels/Napkins",1.00000
"Grade A Pasteurized 2% Milkfat Lowfat Cottage Cheese with Pineapple",1.00000
"Organic Pinto Beans Can",1.00000
"Chocolatier 72% Dark Chocolate with Almonds",1.00000
"Crispy Sea Salt Baked Gourmet Crackers",1.00000
"Chardonnay Sonoma Coast 2008",1.00000
